case,in_w,in_h,denoise,bin_mode,out_w,out_h,kind,idx,val
flat_mid,8,8,1,1,4,4,raw,0,1600
flat_mid,8,8,1,1,4,4,raw,1,1600
flat_mid,8,8,1,1,4,4,raw,2,1600
flat_mid,8,8,1,1,4,4,raw,3,1600
flat_mid,8,8,1,1,4,4,raw,4,1600
flat_mid,8,8,1,1,4,4,raw,5,1600
flat_mid,8,8,1,1,4,4,raw,6,1600
flat_mid,8,8,1,1,4,4,raw,7,1600
flat_mid,8,8,1,1,4,4,raw,8,1600
flat_mid,8,8,1,1,4,4,raw,9,1600
flat_mid,8,8,1,1,4,4,raw,10,1600
flat_mid,8,8,1,1,4,4,raw,11,1600
flat_mid,8,8,1,1,4,4,raw,12,1600
flat_mid,8,8,1,1,4,4,raw,13,1600
flat_mid,8,8,1,1,4,4,raw,14,1600
flat_mid,8,8,1,1,4,4,raw,15,1600
flat_mid,8,8,1,1,4,4,raw,16,1600
flat_mid,8,8,1,1,4,4,raw,17,1600
flat_mid,8,8,1,1,4,4,raw,18,1600
flat_mid,8,8,1,1,4,4,raw,19,1600
flat_mid,8,8,1,1,4,4,raw,20,1600
flat_mid,8,8,1,1,4,4,raw,21,1600
flat_mid,8,8,1,1,4,4,raw,22,1600
flat_mid,8,8,1,1,4,4,raw,23,1600
flat_mid,8,8,1,1,4,4,raw,24,1600
flat_mid,8,8,1,1,4,4,raw,25,1600
flat_mid,8,8,1,1,4,4,raw,26,1600
flat_mid,8,8,1,1,4,4,raw,27,1600
flat_mid,8,8,1,1,4,4,raw,28,1600
flat_mid,8,8,1,1,4,4,raw,29,1600
flat_mid,8,8,1,1,4,4,raw,30,1600
flat_mid,8,8,1,1,4,4,raw,31,1600
flat_mid,8,8,1,1,4,4,raw,32,1600
flat_mid,8,8,1,1,4,4,raw,33,1600
flat_mid,8,8,1,1,4,4,raw,34,1600
flat_mid,8,8,1,1,4,4,raw,35,1600
flat_mid,8,8,1,1,4,4,raw,36,1600
flat_mid,8,8,1,1,4,4,raw,37,1600
flat_mid,8,8,1,1,4,4,raw,38,1600
flat_mid,8,8,1,1,4,4,raw,39,1600
flat_mid,8,8,1,1,4,4,raw,40,1600
flat_mid,8,8,1,1,4,4,raw,41,1600
flat_mid,8,8,1,1,4,4,raw,42,1600
flat_mid,8,8,1,1,4,4,raw,43,1600
flat_mid,8,8,1,1,4,4,raw,44,1600
flat_mid,8,8,1,1,4,4,raw,45,1600
flat_mid,8,8,1,1,4,4,raw,46,1600
flat_mid,8,8,1,1,4,4,raw,47,1600
flat_mid,8,8,1,1,4,4,raw,48,1600
flat_mid,8,8,1,1,4,4,raw,49,1600
flat_mid,8,8,1,1,4,4,raw,50,1600
flat_mid,8,8,1,1,4,4,raw,51,1600
flat_mid,8,8,1,1,4,4,raw,52,1600
flat_mid,8,8,1,1,4,4,raw,53,1600
flat_mid,8,8,1,1,4,4,raw,54,1600
flat_mid,8,8,1,1,4,4,raw,55,1600
flat_mid,8,8,1,1,4,4,raw,56,1600
flat_mid,8,8,1,1,4,4,raw,57,1600
flat_mid,8,8,1,1,4,4,raw,58,1600
flat_mid,8,8,1,1,4,4,raw,59,1600
flat_mid,8,8,1,1,4,4,raw,60,1600
flat_mid,8,8,1,1,4,4,raw,61,1600
flat_mid,8,8,1,1,4,4,raw,62,1600
flat_mid,8,8,1,1,4,4,raw,63,1600
flat_mid,8,8,1,1,4,4,rgb,0,0xEBD9F7
flat_mid,8,8,1,1,4,4,rgb,1,0xEBD9F7
flat_mid,8,8,1,1,4,4,rgb,2,0xEBD9F7
flat_mid,8,8,1,1,4,4,rgb,3,0xEBD9F7
flat_mid,8,8,1,1,4,4,rgb,4,0xEBD9F7
